index;value
1325;358
1325;357
1326;356
1326;355
1327;354
1327;352
1328;351
1328;349
1329;348
1329;346
1330;344
1330;343
1331;341
1331;340
1332;338
1332;336
1333;335
1333;334
1334;333
1334;331
1335;330
1335;329
1336;329
1336;328
1337;328
1337;328
1338;329
1338;330
1339;330
1339;331
1340;332
1340;333
1341;334
1341;335
1342;336
1342;337
1343;338
1343;338
1344;337
1344;337
1345;337
1345;336
1346;335
1346;333
1347;332
1347;330
1348;329
1348;327
1349;325
1349;324
1350;322
1350;320
1351;318
1351;317
1352;315
1352;313
1353;312
1353;311
1354;310
1354;309
1355;308
1355;307
1356;307
1356;307
1357;307
1357;308
1358;309
1358;309
1359;310
1359;312
1360;313
1360;314
1361;315
1361;316
1362;317
1362;318
1363;319
1363;319
1364;319
1364;318
1366;318
1366;317
1367;316
1367;314
1368;313
1368;312
1369;310
1369;309
1370;307
1370;305
1371;304
1371;303
1372;301
1372;300
1373;298
1373;297
1374;296
1374;296
1375;295
1375;294
1376;294
1376;294
1377;294
1377;294
1378;295
1378;296
1379;297
1379;298
1380;300
1380;301
1381;303
1381;303
1382;305
1382;306
1383;307
1383;308
1384;308
1384;308
1385;309
1385;308
1386;307
1386;306
1387;305
1387;304
1388;303
1388;302
1389;301
1389;299
1390;298
1390;297
1391;295
1391;294
1392;293
1392;292
1393;290
1393;290
1394;289
1394;288
1395;288
1395;288
1396;288
1396;288
1397;289
1397;289
1398;290
1398;292
1399;293
1399;294
1400;296
1400;297
1401;299
1401;300
1402;301
1402;303
1403;304
1403;304
1404;304
1404;304
1405;304
1405;303
1406;303
1406;302
1408;301
1408;300
1409;298
1409;297
1410;296
1410;294
1411;293
1411;292
1412;291
1412;289
1413;288
1413;287
1414;286
1414;286
1415;285
1415;285
1416;284
1416;284
1417;285
1417;285
1418;286
1418;287
1419;288
1419;289
1420;291
1420;292
1421;294
1421;295
1422;296
1422;298
1423;299
1423;300
1424;300
1424;300
1425;300
1425;300
1426;299
1426;298
1427;297
1427;296
1428;295
1428;293
1429;292
1429;291
1430;289
1430;288
1431;287
1431;285
1432;284
1432;282
1433;281
1433;280
1434;279
1434;278
1435;278
1435;278
1436;277
1436;277
1437;278
1437;278
1438;279
1438;280
1439;281
1439;282
1440;284
1440;285
1441;286
1441;287
1441;288
1442;290
1442;291
1443;291
1443;291
1444;291
1444;290
1445;289
1445;289
1446;288
1446;286
1447;285
1447;283
1448;282
1448;280
1449;279
1449;277
1451;276
1451;275
1452;273
1452;272
1453;271
1453;270
1454;269
1454;268
1455;267
1455;267
1456;267
1456;266
1457;267
1457;267
1458;268
1458;269
1459;270
1459;272
1460;273
1460;274
1461;276
1461;277
1462;278
1462;279
1463;280
1463;281
1464;281
1464;281
1465;281
1465;280
1466;279
1466;278
1467;277
1467;276
1468;275
1468;273
1469;272
1469;271
1470;269
1470;268
1471;266
1471;265
1472;264
1472;263
1473;262
1473;261
1474;261
1474;260
1475;260
1475;260
1476;259
1476;260
1477;261
1477;262
