x;y;z
-0.042;0.074;-0.984
-0.020;0.057;-0.982
-0.027;0.061;-1.015
-0.035;0.065;-1.015
-0.029;0.063;-0.986
-0.025;0.072;-0.986
-0.023;0.070;-0.999
-0.030;0.063;-0.998
-0.037;0.060;-1.003
-0.026;0.057;-0.995
-0.019;0.072;-1.016
-0.029;0.064;-1.001
-0.016;0.049;-1.007
-0.027;0.061;-0.994
-0.014;0.051;-0.987
-0.035;0.063;-1.004
-0.028;0.052;-0.999
-0.016;0.053;-0.993
-0.018;0.065;-1.007
-0.041;0.063;-1.007
-0.039;0.060;-0.994
-0.044;0.063;-0.999
-0.052;0.075;-1.005
-0.043;0.065;-1.015
-0.015;0.056;-0.993
-0.009;0.045;-1.005
-0.021;0.039;-0.997
-0.050;0.061;-0.984
-0.046;0.061;-0.993
-0.051;0.071;-1.007
-0.033;0.060;-1.001
-0.029;0.050;-1.013
-0.031;0.044;-1.035
-0.037;0.063;-1.013
-0.013;0.060;-1.006
-0.006;0.038;-1.000
-0.013;0.039;-0.983
-0.021;0.047;-0.992
-0.044;0.048;-0.990
-0.052;0.069;-0.980
-0.054;0.074;-1.002
-0.032;0.065;-1.039
-0.015;0.049;-1.013
-0.013;0.032;-0.993
-0.018;0.039;-0.988
-0.041;0.048;-0.999
-0.058;0.055;-0.998
-0.045;0.053;-0.985
-0.046;0.059;-0.996
-0.035;0.056;-1.001
-0.027;0.054;-1.006
-0.027;0.058;-1.027
-0.023;0.033;-1.015
-0.021;0.034;-0.994
-0.017;0.027;-0.986
-0.027;0.041;-0.983
-0.039;0.050;-0.984
-0.041;0.061;-1.012
-0.049;0.057;-1.005
-0.024;0.047;-1.003
-0.032;0.046;-1.013
-0.044;0.040;-1.013
-0.042;0.042;-0.998
-0.051;0.062;-0.987
-0.043;0.058;-1.005
-0.045;0.058;-1.009
-0.026;0.047;-1.002
-0.028;0.046;-0.997
-0.033;0.049;-1.009
-0.045;0.052;-0.997
-0.032;0.051;-0.990
-0.040;0.057;-1.013
-0.029;0.042;-1.008
-0.041;0.051;-1.009
-0.050;0.046;-1.002
-0.038;0.052;-1.001
-0.040;0.056;-1.004
-0.037;0.045;-0.994
-0.027;0.041;-0.985
-0.021;0.041;-0.989
-0.035;0.037;-1.007
-0.036;0.043;-1.007
-0.035;0.047;-0.996
-0.043;0.042;-1.003
-0.035;0.045;-1.011
-0.043;0.039;-1.010
-0.050;0.043;-0.999
-0.044;0.045;-0.995
-0.046;0.059;-0.996
-0.044;0.046;-1.011
-0.037;0.041;-1.012
-0.034;0.042;-1.007
-0.036;0.044;-0.985
-0.031;0.042;-0.997
-0.034;0.041;-1.001
-0.033;0.041;-1.000
-0.040;0.042;-1.000
-0.031;0.032;-1.022
-0.039;0.038;-1.009
-0.052;0.041;-1.000
-0.037;0.049;-0.998
-0.045;0.041;-0.991
-0.042;0.039;-0.997
-0.033;0.033;-0.992
-0.034;0.038;-1.000
-0.044;0.050;-1.016
-0.051;0.052;-1.000
-0.041;0.052;-0.983
-0.040;0.037;-0.997
-0.037;0.030;-1.003
-0.031;0.040;-0.996
-0.036;0.047;-0.996
-0.032;0.044;-0.993
-0.032;0.037;-1.003
-0.032;0.029;-0.989
-0.032;0.028;-1.001
-0.049;0.035;-1.006
-0.046;0.042;-1.012
-0.053;0.040;-1.021
-0.059;0.044;-1.013
-0.050;0.039;-0.991
-0.052;0.041;-1.001
-0.051;0.046;-0.999
-0.048;0.051;-1.008
-0.047;0.031;-1.004
-0.037;0.034;-0.997
-0.036;0.054;-0.998
-0.050;0.025;-1.027
-0.042;0.052;-0.985
-0.053;0.035;-0.996
-0.054;0.035;-1.009
-0.048;0.033;-0.992
-0.039;0.030;-0.993
-0.041;0.031;-1.002
-0.037;0.028;-1.008
-0.043;0.023;-1.001
-0.044;0.014;-1.017
-0.048;0.020;-0.999
-0.048;0.021;-0.991
-0.043;0.019;-1.002
-0.046;0.005;-1.011
-0.037;-0.035;-0.987
0.046;-0.063;-0.955
0.034;-0.119;-0.990
-0.060;-0.143;-0.941
-0.036;-0.249;-0.988
-0.091;-0.286;-0.990
-0.131;-0.297;-0.906
-0.131;-0.341;-0.856
-0.031;-0.408;-0.844
-0.063;-0.445;-0.841
-0.046;-0.490;-0.834
0.002;-0.613;-0.640
0.019;-0.688;-0.669
0.061;-0.809;-0.613
0.039;-0.886;-0.552
0.090;-0.895;-0.466
0.123;-0.853;-0.430
0.122;-0.816;-0.371
0.118;-0.905;-0.375
0.079;-0.945;-0.408
0.034;-0.953;-0.366
0.063;-0.921;-0.365
0.035;-0.866;-0.368
0.042;-0.871;-0.346
0.058;-0.932;-0.401
-0.004;-0.961;-0.398
0.010;-0.884;-0.355
0.025;-0.854;-0.358
0.027;-0.878;-0.381
-0.006;-0.952;-0.375
0.006;-0.934;-0.352
0.021;-0.898;-0.342
0.027;-0.897;-0.353
0.015;-0.910;-0.371
-0.003;-0.909;-0.354
0.004;-0.896;-0.359
0.000;-0.872;-0.335
0.031;-0.901;-0.368
0.005;-0.920;-0.381
0.006;-0.906;-0.351
0.012;-0.883;-0.372
-0.001;-0.897;-0.369
0.007;-0.905;-0.365
-0.001;-0.901;-0.368
0.011;-0.899;-0.376
0.005;-0.896;-0.363
0.011;-0.885;-0.363
0.013;-0.903;-0.358
0.018;-0.903;-0.366
0.009;-0.896;-0.373
0.004;-0.909;-0.353
0.008;-0.902;-0.363
0.003;-0.896;-0.363
0.011;-0.887;-0.364
-0.010;-0.897;-0.365
-0.001;-0.893;-0.359
-0.005;-0.899;-0.358
0.002;-0.903;-0.348
0.001;-0.892;-0.357
-0.002;-0.899;-0.364
0.002;-0.915;-0.351
0.004;-0.907;-0.353
-0.001;-0.895;-0.352
0.004;-0.900;-0.340
0.005;-0.903;-0.366
0.001;-0.910;-0.342
0.003;-0.908;-0.344
0.006;-0.905;-0.353
-0.010;-0.908;-0.355
-0.007;-0.918;-0.340
0.007;-0.900;-0.353
0.008;-0.900;-0.345
0.000;-0.918;-0.362
-0.006;-0.902;-0.359
-0.003;-0.899;-0.361
-0.013;-0.906;-0.358
-0.001;-0.899;-0.339
0.011;-0.896;-0.349
0.011;-0.908;-0.352
0.004;-0.909;-0.350
0.015;-0.901;-0.354
0.007;-0.908;-0.332
0.007;-0.907;-0.349
-0.001;-0.903;-0.354
-0.001;-0.899;-0.343
0.011;-0.899;-0.342
0.005;-0.916;-0.344
0.007;-0.914;-0.340
0.009;-0.899;-0.355
0.000;-0.896;-0.349
0.010;-0.896;-0.338
0.007;-0.917;-0.349
-0.001;-0.911;-0.350
-0.002;-0.892;-0.347
0.004;-0.895;-0.321
0.017;-0.928;-0.341
0.004;-0.936;-0.349
0.000;-0.935;-0.358
-0.010;-0.877;-0.353
0.005;-0.898;-0.332
0.007;-0.909;-0.349
0.004;-0.900;-0.338
-0.006;-0.908;-0.335
0.009;-0.896;-0.345
-0.005;-0.912;-0.345
-0.007;-0.914;-0.341
0.002;-0.921;-0.331
0.012;-0.919;-0.326
0.014;-0.913;-0.348
-0.007;-0.918;-0.338
0.001;-0.907;-0.336
0.003;-0.896;-0.339
-0.004;-0.901;-0.352
0.000;-0.903;-0.342
-0.001;-0.905;-0.338
-0.004;-0.914;-0.352
0.003;-0.897;-0.341
0.011;-0.898;-0.335
0.008;-0.914;-0.338
-0.003;-0.915;-0.345
-0.010;-0.922;-0.341
0.002;-0.914;-0.350
-0.006;-0.911;-0.353
-0.004;-0.914;-0.338
0.009;-0.904;-0.351
0.005;-0.920;-0.346
-0.001;-0.909;-0.327
0.017;-0.897;-0.338
0.017;-0.896;-0.344
-0.003;-0.900;-0.348
-0.001;-0.903;-0.350
-0.005;-0.898;-0.346
-0.007;-0.914;-0.349
-0.009;-0.915;-0.360
-0.017;-0.910;-0.350
0.008;-0.905;-0.332
0.005;-0.896;-0.335
0.012;-0.920;-0.324
0.012;-0.907;-0.343
0.007;-0.900;-0.347
0.008;-0.909;-0.334
0.000;-0.915;-0.336
-0.002;-0.912;-0.337
0.002;-0.911;-0.354
-0.009;-0.907;-0.343
-0.002;-0.913;-0.354
-0.012;-0.904;-0.339
-0.001;-0.909;-0.336
-0.004;-0.914;-0.339
0.000;-0.896;-0.332
0.008;-0.898;-0.354
0.000;-0.904;-0.353
0.001;-0.909;-0.349
-0.002;-0.915;-0.335
0.023;-0.904;-0.325
0.015;-0.907;-0.342
0.013;-0.896;-0.345
-0.002;-0.906;-0.347
-0.015;-0.907;-0.349
-0.003;-0.900;-0.343
0.000;-0.911;-0.360
0.007;-0.923;-0.336
0.010;-0.912;-0.341
0.005;-0.905;-0.331
0.004;-0.899;-0.350
-0.001;-0.912;-0.352
0.003;-0.902;-0.344
0.008;-0.896;-0.348
0.004;-0.911;-0.356
0.000;-0.905;-0.341
0.011;-0.895;-0.342
0.008;-0.919;-0.341
0.002;-0.916;-0.345
-0.009;-0.906;-0.350
0.003;-0.902;-0.338
0.003;-0.900;-0.350
-0.002;-0.916;-0.365
0.003;-0.912;-0.339
0.012;-0.896;-0.347
-0.006;-0.908;-0.352
0.002;-0.914;-0.351
-0.006;-0.907;-0.359
-0.002;-0.918;-0.352
-0.014;-0.912;-0.358
-0.012;-0.911;-0.350
-0.009;-0.905;-0.364
-0.016;-0.900;-0.372
-0.015;-0.885;-0.364
0.003;-0.894;-0.348
-0.002;-0.895;-0.369
-0.011;-0.920;-0.368
-0.003;-0.901;-0.378
-0.032;-0.888;-0.406
-0.011;-0.893;-0.410
0.019;-0.894;-0.434
-0.027;-0.889;-0.542
-0.070;-0.838;-0.550
-0.065;-0.754;-0.567
-0.066;-0.743;-0.673
-0.054;-0.721;-0.746
-0.097;-0.603;-0.761
-0.097;-0.483;-0.793
-0.056;-0.461;-0.849
-0.001;-0.392;-0.929
-0.030;-0.279;-0.926
-0.031;-0.145;-0.910
0.001;-0.075;-0.937
-0.007;0.023;-0.917
0.000;0.113;-1.004
-0.035;0.228;-0.923
-0.002;0.406;-0.837
-0.018;0.473;-0.890
0.032;0.604;-0.809
0.074;0.595;-0.819
0.054;0.587;-0.777
0.035;0.670;-0.768
0.033;0.657;-0.724
0.033;0.768;-0.746
0.022;0.841;-0.511
0.041;0.889;-0.562
0.066;0.874;-0.538
0.050;0.789;-0.535
0.054;0.801;-0.531
0.065;0.837;-0.541
0.069;0.844;-0.527
0.062;0.853;-0.487
0.059;0.865;-0.487
0.042;0.861;-0.493
0.050;0.859;-0.480
0.043;0.880;-0.479
0.036;0.875;-0.478
0.034;0.854;-0.456
0.037;0.871;-0.466
0.035;0.889;-0.457
0.025;0.888;-0.465
0.046;0.883;-0.475
0.045;0.887;-0.477
0.033;0.869;-0.434
0.033;0.868;-0.438
0.043;0.884;-0.479
0.046;0.879;-0.462
0.048;0.863;-0.438
0.045;0.877;-0.448
0.046;0.866;-0.439
0.049;0.874;-0.463
0.062;0.861;-0.458
0.050;0.883;-0.459
0.033;0.879;-0.467
0.048;0.870;-0.453
0.041;0.897;-0.456
0.037;0.884;-0.467
0.045;0.877;-0.475
0.057;0.878;-0.474
0.055;0.870;-0.455
0.045;0.883;-0.448
0.046;0.869;-0.452
0.048;0.854;-0.447
0.048;0.845;-0.453
0.050;0.884;-0.475
0.040;0.901;-0.464
0.041;0.871;-0.443
0.052;0.860;-0.438
0.048;0.866;-0.464
0.051;0.881;-0.470
0.056;0.888;-0.461
0.050;0.859;-0.445
0.044;0.860;-0.452
0.051;0.867;-0.468
0.058;0.870;-0.479
0.053;0.874;-0.479
