value,index
347,1315
347,1315
346,1316
346,1316
347,1317
347,1317
348,1318
349,1318
350,1319
351,1319
353,1320
354,1320
355,1321
356,1321
356,1323
357,1323
358,1324
358,1324
358,1325
357,1325
356,1326
355,1326
354,1327
352,1327
351,1328
349,1328
348,1329
346,1329
344,1330
343,1330
341,1331
340,1331
338,1332
336,1332
335,1333
334,1333
333,1334
331,1334
330,1335
329,1335
329,1336
328,1336
328,1337
328,1337
329,1338
330,1338
330,1339
331,1339
332,1340
333,1340
334,1341
335,1341
336,1342
337,1342
338,1343
338,1343
337,1344
337,1344
337,1345
336,1345
335,1346
333,1346
332,1347
330,1347
329,1348
327,1348
325,1349
324,1349
322,1350
320,1350
318,1351
317,1351
315,1352
313,1352
312,1353
311,1353
310,1354
309,1354
308,1355
307,1355
307,1356
307,1356
307,1357
308,1357
309,1358
309,1358
310,1359
312,1359
313,1360
314,1360
315,1361
316,1361
317,1362
318,1362
319,1363
319,1363
319,1364
318,1364
318,1366
317,1366
316,1367
314,1367
313,1368
312,1368
310,1369
309,1369
307,1370
305,1370
304,1371
303,1371
301,1372
300,1372
298,1373
297,1373
296,1374
296,1374
295,1375
294,1375
294,1376
294,1376
294,1377
294,1377
295,1378
296,1378
297,1379
298,1379
300,1380
301,1380
303,1381
303,1381
305,1382
306,1382
307,1383
308,1383
308,1384
308,1384
309,1385
308,1385
307,1386
306,1386
305,1387
304,1387
303,1388
302,1388
301,1389
299,1389
298,1390
297,1390
295,1391
294,1391
293,1392
292,1392
290,1393
290,1393
289,1394
288,1394
288,1395
288,1395
288,1396
288,1396
289,1397
289,1397
290,1398
292,1398
293,1399
294,1399
296,1400
297,1400
299,1401
300,1401
301,1402
303,1402
304,1403
304,1403
304,1404
304,1404
304,1405
303,1405
303,1406
302,1406
301,1408
300,1408
298,1409
297,1409
296,1410
294,1410
293,1411
292,1411
291,1412
289,1412
288,1413
287,1413
286,1414
286,1414
285,1415
285,1415
284,1416
284,1416
285,1417
285,1417
286,1418
287,1418
288,1419
289,1419
291,1420
292,1420
294,1421
295,1421
296,1422
298,1422
299,1423
300,1423
300,1424
300,1424
300,1425
300,1425
299,1426
298,1426
297,1427
296,1427
295,1428
293,1428
292,1429
291,1429
289,1430
288,1430
287,1431
285,1431
284,1432
282,1432
281,1433
280,1433
279,1434
278,1434
278,1435
278,1435
277,1436
277,1436
278,1437
278,1437
279,1438
280,1438
281,1439
282,1439
284,1440
285,1440
286,1441
287,1441
288,1441
290,1442
291,1442
291,1443
291,1443
291,1444
290,1444
289,1445
289,1445
288,1446
286,1446
285,1447
283,1447
282,1448
280,1448
279,1449
277,1449
276,1451
275,1451
273,1452
272,1452
271,1453
270,1453
269,1454
268,1454
267,1455
267,1455
267,1456
266,1456
267,1457
267,1457
268,1458
269,1458
270,1459
272,1459
273,1460
274,1460
276,1461
277,1461
278,1462
279,1462
280,1463
281,1463
281,1464
281,1464
281,1465
280,1465
279,1466
278,1466
277,1467
276,1467
275,1468
273,1468
272,1469
271,1469
269,1470
268,1470
266,1471
265,1471
264,1472
263,1472
262,1473
261,1473
261,1474
260,1474
260,1475
260,1475
259,1476
260,1476
261,1477
262,1477
263,1478
264,1478
265,1479
267,1479
269,1480
270,1480
272,1481
273,1481
274,1482
275,1482
276,1483
276,1483
276,1484
276,1484
276,1485
275,1485
274,1486
273,1486
272,1487
271,1487
270,1488
269,1488
267,1489
266,1489
265,1490
263,1490
262,1491
261,1491
260,1492
259,1492
258,1494
258,1494
257,1495
257,1495
257,1496
257,1496
257,1497
258,1497
259,1498
260,1498
262,1499
263,1499
265,1500
266,1500
268,1501
269,1501
270,1502
272,1502
273,1503
274,1503
274,1504
274,1504
275,1505
274,1505
273,1506
272,1506
271,1507
270,1507
269,1508
268,1508
267,1509
265,1509
264,1510
263,1510
262,1511
261,1511
259,1512
258,1512
258,1513
257,1513
256,1514
256,1514
256,1515
256,1515
255,1516
256,1516
257,1517
258,1517
259,1518
260,1518
262,1519
263,1519
265,1520
267,1520
268,1521
270,1521
271,1522
272,1522
273,1523
273,1523
274,1524
274,1524
273,1525
273,1525
272,1526
