t;emg
1579;747
1580;747
1581;747
1582;747
1583;747
1584;747
1585;747
1586;747
1587;747
1588;747
1589;747
1590;747
1591;747
1592;747
1593;747
1594;747
1595;747
1596;747
1597;747
1598;747
1599;747
1600;747
1601;747
1602;747
1603;747
1604;747
1605;747
1606;747
1607;747
1608;747
1609;747
1610;747
1611;747
1612;747
1613;747
1614;746
1615;747
1616;747
1617;747
1618;747
1619;747
1620;747
1621;747
1622;747
1623;747
1624;747
1625;746
1626;747
1627;746
1628;746
1629;747
1630;747
1631;746
1632;747
1633;747
1634;747
1635;747
1636;747
1637;746
1638;746
1639;747
1640;746
1641;747
1642;746
1643;747
1644;747
1645;747
1646;747
1647;746
1648;747
1649;747
1650;747
1651;747
1652;747
1653;747
1654;747
1655;747
1656;747
1657;746
1658;747
1659;747
1660;746
1661;746
1662;747
1663;746
1664;746
1665;746
1666;746
1667;746
1668;746
1669;746
1670;746
1671;746
1672;746
1673;746
1674;746
1675;746
1676;746
1677;746
1678;746
1679;746
1680;746
1681;746
1682;746
1683;746
1684;746
1685;746
1686;746
1687;746
1688;746
1689;746
1690;746
1691;746
1692;746
1693;746
1694;746
1695;746
1696;746
1697;746
1698;746
1699;746
1700;746
1701;746
1702;746
1703;746
1704;746
1705;746
1706;746
1707;746
1708;746
1709;746
1710;746
1711;746
1712;746
1713;746
1714;746
1715;746
1716;746
1717;746
1718;746
1719;746
1720;746
1721;746
1722;746
1723;746
1724;746
1725;746
1726;746
1727;746
1728;746
1729;746
1730;746
1731;746
1732;746
1733;746
1734;746
1735;746
1736;746
1737;746
1738;746
1739;746
1740;746
1741;746
1742;746
1743;746
1744;746
1745;746
1746;746
1747;746
1748;746
1749;746
1750;746
1751;746
1752;746
1753;746
1754;746
1755;746
1756;746
1757;746
1758;746
1759;746
1760;746
1761;746
1762;746
1763;746
1764;746
1765;746
1766;746
1767;746
1768;746
1769;746
1770;746
1771;746
1772;746
1773;746
1774;746
1775;746
1776;746
1777;746
1778;746
1779;746
1780;746
1781;746
1782;746
1783;746
1784;745
1785;746
1786;746
1787;746
1788;746
1789;746
1790;746
1791;746
1792;746
1793;745
1794;746
1795;745
1796;745
1797;746
1798;745
1799;745
1800;746
1801;746
1802;746
1803;746
1804;745
1805;745
1806;746
1807;745
1808;746
1809;746
1810;746
1811;746
1812;746
1813;746
1814;746
1815;746
1816;746
1817;746
1818;746
1819;746
1820;746
1821;746
1822;746
1823;746
1824;746
1825;746
1826;746
1827;746
1828;746
1829;746
1830;746
1831;746
1832;746
1833;746
1834;746
1835;745
1836;746
1837;745
1838;745
1839;745
1840;745
1841;746
1842;745
1843;745
1844;745
1845;745
1846;745
1847;745
1848;745
1849;745
1850;745
1851;745
1852;745
1853;745
1854;745
1855;745
1856;745
1857;745
1858;745
1859;745
1860;745
1861;745
1862;745
1863;745
1864;746
1865;745
1866;745
1867;745
1868;745
1869;746
1870;745
1871;746
1872;746
1873;745
1874;745
1875;746
1876;746
1877;746
1878;746
1879;746
1880;746
1881;746
1882;746
1883;746
1884;746
1885;745
1886;746
1887;745
1888;746
1889;746
1890;745
1891;745
1892;745
1893;745
1894;745
1895;746
1896;745
1897;745
1898;745
1899;745
1900;745
1901;745
1902;745
1903;745
1904;745
1905;745
1906;745
1907;745
1908;745
1909;745
1910;745
1911;745
1912;745
1913;745
1914;745
1915;745
1916;745
1917;745
1918;745
1919;745
1920;745
1921;745
1922;745
1923;745
1924;745
1925;745
1926;746
1927;746
1928;746
1929;746
1930;746
1931;746
1932;746
1933;745
1934;745
1935;746
1936;746
1937;746
1938;746
1939;746
1940;746
1941;746
1942;746
1943;745
1944;746
1945;745
1946;745
1947;745
1948;745
1949;746
1950;745
1951;745
1952;745
1953;745
1954;745
1955;745
1956;745
1957;745
1958;745
1959;745
1960;745
1961;745
1962;745
1963;745
1964;745
1965;745
1966;745
1967;745
1968;745
1969;745
1970;745
1971;745
1972;745
1973;745
1974;745
1975;745
1976;745
1977;746
1978;745
1979;746
1980;746
1981;746
1982;746
1983;746
1984;746
1985;745
1986;745
1987;746
1988;746
1989;746
1990;746
1991;746
1992;746
1993;746
1994;746
1995;746
1996;746
1997;746
1998;746
1999;746
2000;746
2001;746
2002;746
2003;746
2004;746
2005;746
2006;745
2007;745
2008;746
2009;746
2010;745
2011;746
2012;745
2013;745
2014;746
2015;745
2016;746
2017;745
2018;745
2019;746
2020;745
2021;745
2022;745
2023;745
2024;745
2025;745
2026;745
2027;745
2028;745
2029;745
2030;746
2031;745
2032;745
2033;745
2034;745
2035;745
2036;746
2037;746
2038;746
2039;746
2040;746
2041;746
2042;746
2043;746
2044;746
2045;746
2046;746
2047;746
2048;746
2049;746
2050;746
2051;746
2052;746
2053;746
2054;746
2055;746
2056;746
2057;746
2058;746
2059;746
2060;746
2061;746
2062;746
2063;746
2064;746
2065;746
2066;746
2067;746
2068;746
2069;746
2070;746
2071;746
2072;746
2073;746
2074;746
2075;746
2076;746
2077;746
2078;746
2079;746
2080;746
2081;746
2082;746
2083;746
2084;746
2085;746
2086;746
2087;746
2088;746
2089;746
2090;746
2091;746
2092;746
2093;746
2094;746
2095;746
2096;746
2097;746
2098;746
2099;746
2100;746
2101;746
2102;746
2103;746
2104;746
2105;746
2106;746
2107;746
2108;746
2109;746
2110;747
2111;747
2112;746
2113;746
2114;747
2115;746
2116;746
2117;746
2118;746
2119;746
2120;746
2121;746
2122;746
2123;746
2124;747
2125;746
2126;746
2127;746
2128;746
2129;746
2130;746
2131;746
2132;746
2133;746
2134;746
2135;746
2136;746
2137;746
2138;746
2139;746
2140;746
2141;746
2142;746
2143;746
2144;746
2145;746
2146;746
2147;747
2148;746
2149;746
2150;746
2151;746
2152;746
2153;747
2154;746
2155;746
2156;747
2157;747
2158;747
2159;747
